,seed,classifier,train_fun,train_accuracy,test_accuracy,fold_id,roc_auc,prior,var_smoothing
0,0,GaussianNB,partial_train,0.8716750139120757,0.7187360925678683,0,0.5990220009112803,0.5095649512102972,2.3623013202337124e-11
1,0,GaussianNB,partial_train,0.8555370061213133,0.8571428571428571,1,0.90597539543058,0.5095649512102972,2.3623013202337124e-11
2,0,GaussianNB,partial_train,0.8577787669708435,0.8481745325022262,2,0.9001171646162859,0.5095649512102972,2.3623013202337124e-11
3,0,GaussianNB,partial_train,0.8563320721121745,0.8539626001780944,3,0.9039250146455771,0.5095649512102972,2.3623013202337124e-11
4,0,GaussianNB,partial_train,0.8551079456933007,0.858860195903829,4,0.9071470415934388,0.5095649512102972,2.3623013202337124e-11
5,1,GaussianNB,partial_train,0.856093489148581,0.8549176680017802,0,0.9045108377270065,0.5095649512102972,2.3623013202337124e-11
6,1,GaussianNB,partial_train,0.8525319977740679,0.8691588785046729,1,0.913884007029877,0.5095649512102972,2.3623013202337124e-11
7,1,GaussianNB,partial_train,0.8586690407300245,0.844612644701692,2,0.8977738722905683,0.5095649512102972,2.3623013202337124e-11
8,1,GaussianNB,partial_train,0.8541063877142221,0.8628673196794301,3,0.9097832454598711,0.5095649512102972,2.3623013202337124e-11
9,1,GaussianNB,partial_train,0.8578900511907411,0.8477292965271594,4,0.8998242530755711,0.5095649512102972,2.3623013202337124e-11
10,2,GaussianNB,partial_train,0.8562047857540345,0.8544726301735648,0,0.9042179261862917,0.5095649512102972,2.3623013202337124e-11
11,2,GaussianNB,partial_train,0.8568725653867557,0.8518024032042724,1,0.9024604569420035,0.5095649512102972,2.3623013202337124e-11
12,2,GaussianNB,partial_train,0.8562207878922768,0.8544078361531612,2,0.9042179261862917,0.5095649512102972,2.3623013202337124e-11
13,2,GaussianNB,partial_train,0.856777208991765,0.8521816562778273,3,0.9027533684827183,0.5095649512102972,2.3623013202337124e-11
14,2,GaussianNB,partial_train,0.8532161139550412,0.8664292074799644,4,0.9121265377855887,0.5095649512102972,2.3623013202337124e-11
15,3,GaussianNB,partial_train,0.8545353366722315,0.8611481975967957,0,0.9086115992970123,0.5095649512102972,2.3623013202337124e-11
16,3,GaussianNB,partial_train,0.8569838619922092,0.851357365376057,1,0.9021675454012887,0.5095649512102972,2.3623013202337124e-11
17,3,GaussianNB,partial_train,0.8564433563320721,0.8535173642030276,2,0.9036321031048623,0.5095649512102972,2.3623013202337124e-11
18,3,GaussianNB,partial_train,0.8546628088137103,0.8606411398040962,3,0.9083186877562976,0.5095649512102972,2.3623013202337124e-11
19,3,GaussianNB,partial_train,0.8566659247718673,0.852626892252894,4,0.9030462800234329,0.5095649512102972,2.3623013202337124e-11
20,4,GaussianNB,partial_train,0.8536449638286032,0.8647085002225189,0,0.9109548916227299,0.5095649512102972,2.3623013202337124e-11
21,4,GaussianNB,partial_train,0.8554257095158597,0.8575878949710726,1,0.9062683069712947,0.5095649512102972,2.3623013202337124e-11
22,4,GaussianNB,partial_train,0.8555530825728912,0.8570792520035619,2,0.90597539543058,0.5095649512102972,2.3623013202337124e-11
23,4,GaussianNB,partial_train,0.854440240373915,0.8615316117542298,3,0.9089045108377269,0.5095649512102972,2.3623013202337124e-11
24,4,GaussianNB,partial_train,0.8602270198085912,0.838379341050757,4,0.8936731107205624,0.5095649512102972,2.3623013202337124e-11
